id,conference,title,visual mark,visual channel,symbol layout,text position,multi-channel,url
633_1,InfoVis,Visualizing application behavior on superscalar processors,semantic,color-discrete,connected,accompanying,none,http://dx.doi.org/10.1109/INFVIS.1999.801852
637_9,InfoVis,Domain analysis: a technique to design a user-centered visualization framework,non-semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.1999.801856
639_0,InfoVis,Navigating hierarchies with structure-based brushes,non-semantic,color-discrete,connected,none,none,http://dx.doi.org/10.1109/INFVIS.1999.801858
639_1,InfoVis,Navigating hierarchies with structure-based brushes,non-semantic,color-ordinal,continuous,none,none,http://dx.doi.org/10.1109/INFVIS.1999.801858
639_2,InfoVis,Navigating hierarchies with structure-based brushes,non-semantic,color-ordinal,continuous,none,none,http://dx.doi.org/10.1109/INFVIS.1999.801858
639_3,InfoVis,Navigating hierarchies with structure-based brushes,non-semantic,color-ordinal,continuous,none,none,http://dx.doi.org/10.1109/INFVIS.1999.801858
639_4,InfoVis,Navigating hierarchies with structure-based brushes,non-semantic,color-ordinal,continuous,none,none,http://dx.doi.org/10.1109/INFVIS.1999.801858
639_5,InfoVis,Navigating hierarchies with structure-based brushes,non-semantic,color-continuous,continuous,none,none,http://dx.doi.org/10.1109/INFVIS.2000.885101
639_6,InfoVis,Navigating hierarchies with structure-based brushes,non-semantic,color-ordinal,continuous,none,none,http://dx.doi.org/10.1109/INFVIS.1999.801858
643_5,InfoVis,Efficient multi-object dynamic query histograms,semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.1999.801862
643_6,InfoVis,Efficient multi-object dynamic query histograms,semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.1999.801862
645_5,InfoVis,VisageWeb: visualizing WWW data in Visage,non-semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.1999.801864
645_11,InfoVis,VisageWeb: visualizing WWW data in Visage,non-semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.1999.801864
647_5,InfoVis,Visualizing association rules for text mining,non-semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.1999.801866
724_2,InfoVis,"Polaris: a system for query, analysis and visualization of multi-dimensional relational databases",non-semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2000.885086
724_3,InfoVis,"Polaris: a system for query, analysis and visualization of multi-dimensional relational databases",non-semantic,color-ordinal,continuous,as tick,combine,http://dx.doi.org/10.1109/INFVIS.2000.885086
724_3,InfoVis,"Polaris: a system for query, analysis and visualization of multi-dimensional relational databases",semantic,shape,uniform,none,combine,http://dx.doi.org/10.1109/INFVIS.2000.885086
724_3,InfoVis,"Polaris: a system for query, analysis and visualization of multi-dimensional relational databases",semantic,size,uniform,none,combine,http://dx.doi.org/10.1109/INFVIS.2000.885086
724_3,InfoVis,"Polaris: a system for query, analysis and visualization of multi-dimensional relational databases",semantic,tilt,uniform,none,combine,http://dx.doi.org/10.1109/INFVIS.2000.885086
724_3,InfoVis,"Polaris: a system for query, analysis and visualization of multi-dimensional relational databases",non-semantic,color-discrete,uniform,none,combine,http://dx.doi.org/10.1109/INFVIS.2000.885086
724_5,InfoVis,"Polaris: a system for query, analysis and visualization of multi-dimensional relational databases",semantic,color-discrete,connected,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2000.885086
731_3,InfoVis,GADGET/IV: a taxonomic approach to semi-automatic design of information visualization applications using modular visualization environment,non-semantic,color-continuous,continuous,as tick,none,http://dx.doi.org/10.1109/INFVIS.2000.885101
734_1,InfoVis,Information content measures of visual displays,non-semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2000.885096
735_4,InfoVis,Visualizing sequential patterns for text mining,non-semantic,color-discrete,connected,as tick,none,http://dx.doi.org/10.1109/INFVIS.2000.885097
735_6,InfoVis,Visualizing sequential patterns for text mining,non-semantic,color-discrete,connected,as tick,none,http://dx.doi.org/10.1109/INFVIS.2000.885097
736_1,InfoVis,ThemeRiver: visualizing theme changes over time,non-semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2000.885098
737_1,InfoVis,Lighthouse: showing the way to relevant information,non-semantic,color-ordinal,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2000.885099
738_0,InfoVis,New methods for the visualization of electric power system information,non-semantic,color-continuous,continuous,as tick,none,http://dx.doi.org/10.1109/INFVIS.2000.885102
738_3,InfoVis,New methods for the visualization of electric power system information,non-semantic,color-ordinal,continuous,as tick,none,http://dx.doi.org/10.1109/INFVIS.2000.885101
738_4,InfoVis,New methods for the visualization of electric power system information,non-semantic,color-ordinal,continuous,as tick,none,http://dx.doi.org/10.1109/INFVIS.2000.885101
738_5,InfoVis,New methods for the visualization of electric power system information,non-semantic,color-ordinal,continuous,as tick,none,http://dx.doi.org/10.1109/INFVIS.2000.885101
738_6,InfoVis,New methods for the visualization of electric power system information,non-semantic,color-ordinal,continuous,as tick,none,http://dx.doi.org/10.1109/INFVIS.2000.885101
738_7,InfoVis,New methods for the visualization of electric power system information,non-semantic,color-ordinal,continuous,as tick,none,http://dx.doi.org/10.1109/INFVIS.2000.885101
738_8,InfoVis,New methods for the visualization of electric power system information,non-semantic,color-ordinal,continuous,as tick,none,http://dx.doi.org/10.1109/INFVIS.2000.885101
738_9,InfoVis,New methods for the visualization of electric power system information,non-semantic,color-ordinal,continuous,as tick,none,http://dx.doi.org/10.1109/INFVIS.2000.885101
738_11,InfoVis,New methods for the visualization of electric power system information,non-semantic,color-continuous,continuous,as tick,none,http://dx.doi.org/10.1109/INFVIS.2001.963277
738_14,InfoVis,New methods for the visualization of electric power system information,non-semantic,color-ordinal,continuous,as tick,none,http://dx.doi.org/10.1109/INFVIS.2000.885101
738_15,InfoVis,New methods for the visualization of electric power system information,non-semantic,color-ordinal,continuous,as tick,none,http://dx.doi.org/10.1109/INFVIS.2000.885101
739_0,InfoVis,Collaborative geographic visualization: enabling shared understanding of environmental processes,non-semantic,color-continuous,continuous,as tick,none,http://dx.doi.org/10.1109/INFVIS.2001.963288
740_0,InfoVis,Interactive problem solving via algorithm visualization,non-semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2000.885103
740_9,InfoVis,Interactive problem solving via algorithm visualization,non-semantic,color-discrete,connected,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2000.885103
740_10,InfoVis,Interactive problem solving via algorithm visualization,non-semantic,color-discrete,connected,none,none,http://dx.doi.org/10.1109/INFVIS.2000.885103
818_1,InfoVis,Change blindness in information visualization: a case study,non-semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2001.963274
818_7,InfoVis,Change blindness in information visualization: a case study,non-semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2001.963274
820_0,InfoVis,Technical note: visually encoding program test information to find faults in software,non-semantic,color-continuous,continuous,none,none,http://dx.doi.org/10.1109/INFVIS.2002.1173150
827_4,InfoVis,Collapsible cylindrical trees: a fast hierarchical navigation technique,non-semantic,color-discrete,uniform,embedded,none,http://dx.doi.org/10.1109/INFVIS.2001.963284
831_3,InfoVis,Pixel bar charts: a new technique for visualizing large multi-attribute data sets without aggregation,non-semantic,color-continuous,continuous,as tick,none,http://dx.doi.org/10.1109/INFVIS.2003.1249020
831_7,InfoVis,Pixel bar charts: a new technique for visualizing large multi-attribute data sets without aggregation,non-semantic,color-ordinal,continuous,as tick,none,http://dx.doi.org/10.1109/INFVIS.2001.963288
831_9,InfoVis,Pixel bar charts: a new technique for visualizing large multi-attribute data sets without aggregation,non-semantic,color-ordinal,continuous,as tick,none,http://dx.doi.org/10.1109/INFVIS.2001.963288
832_3,InfoVis,An empirical comparison of three commercial information visualization systems,non-semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2001.963289
834_3,InfoVis,"2D vs 3D, implications on spatial memory",semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2001.963291
834_4,InfoVis,"2D vs 3D, implications on spatial memory",semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2001.963291
835_4,InfoVis,Case study: visualization for decision tree analysis in data mining,semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2001.963292
836_0,InfoVis,Case study: e-commerce clickstream visualization,non-semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2001.963293
836_1,InfoVis,Case study: e-commerce clickstream visualization,non-semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2001.963293
837_0,InfoVis,Case study: design and assessment of an enhanced geographic information system for exploration of multivariate health statistics,non-semantic,color-discrete,connected,as tick,matrix,http://dx.doi.org/10.1109/INFVIS.2001.963294
837_0,InfoVis,Case study: design and assessment of an enhanced geographic information system for exploration of multivariate health statistics,non-semantic,color-discrete,connected,as tick,matrix,http://dx.doi.org/10.1109/INFVIS.2001.963294
837_3,InfoVis,Case study: design and assessment of an enhanced geographic information system for exploration of multivariate health statistics,semantic,shape,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2001.963294
915_7,InfoVis,Multiscale visualization using data cubes,non-semantic,color-ordinal,uniform,accompanying,matrix,http://dx.doi.org/10.1109/INFVIS.2002.1173141
915_7,InfoVis,Multiscale visualization using data cubes,semantic,size,uniform,accompanying,matrix,http://dx.doi.org/10.1109/INFVIS.2002.1173141
918_0,InfoVis,Efficient cartogram generation: a comparison,non-semantic,color-ordinal,connected,none,none,http://dx.doi.org/10.1109/INFVIS.2002.1173144
918_2,InfoVis,Efficient cartogram generation: a comparison,semantic,shape,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2002.1173144
923_4,InfoVis,Process visualization with levels of detail,non-semantic,color-discrete,connected,embedded,none,http://dx.doi.org/10.1109/INFVIS.2002.1173149
923_5,InfoVis,Process visualization with levels of detail,non-semantic,color-discrete,connected,embedded,none,http://dx.doi.org/10.1109/INFVIS.2002.1173149
924_0,InfoVis,Case study: visualizing sets of evolutionary trees,non-semantic,color-continuous,continuous,as tick,none,http://dx.doi.org/10.1109/INFVIS.2004.3
928_3,InfoVis,Visualizing biosequence data using texture mapping,non-semantic,color-discrete,uniform,as symbol,none,http://dx.doi.org/10.1109/INFVIS.2002.1173154
935_2,InfoVis,A hybrid layout algorithm for sub-quadratic multidimensional scaling,semantic,shape,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2002.1173161
935_3,InfoVis,A hybrid layout algorithm for sub-quadratic multidimensional scaling,semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2002.1173161
935_4,InfoVis,A hybrid layout algorithm for sub-quadratic multidimensional scaling,semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2002.1173161
935_5,InfoVis,A hybrid layout algorithm for sub-quadratic multidimensional scaling,semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2002.1173161
936_2,InfoVis,Demystifying venture capital investing,non-semantic,color-discrete,connected,as tick,none,http://dx.doi.org/10.1109/INFVIS.2002.1173162
1021_6,InfoVis,Smooth and efficient zooming and panning,semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2003.1249004
1021_7,InfoVis,Smooth and efficient zooming and panning,semantic,color-discrete,non-uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2003.1249004
1023_2,InfoVis,Exploring high-D spaces with multiform matrices and small multiples,non-semantic,color-ordinal,uniform,accompanying,matrix,http://dx.doi.org/10.1109/INFVIS.2003.1249006
1023_2,InfoVis,Exploring high-D spaces with multiform matrices and small multiples,non-semantic,color-discrete,uniform,accompanying,matrix,http://dx.doi.org/10.1109/INFVIS.2003.1249006
1024_1,InfoVis,Design choices when architecting visualizations,semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2003.1249007
1025_6,InfoVis,Edgelens: an interactive method for managing edge congestion in graphs,semantic,color-discrete,non-uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2003.1249008
1025_7,InfoVis,Edgelens: an interactive method for managing edge congestion in graphs,semantic,color-discrete,non-uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2003.1249008
1025_8,InfoVis,Edgelens: an interactive method for managing edge congestion in graphs,semantic,color-discrete,non-uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2003.1249008
1029_6,InfoVis,Improving Hybrid MDS with Pivot-Based Searching,semantic,color-discrete,non-uniform,accompanying,none,http://doi.ieeecomputersociety.org/10.1109/INFVIS.2003.1249012
1029_8,InfoVis,Improving Hybrid MDS with Pivot-Based Searching,semantic,color-discrete,uniform,accompanying,none,http://doi.ieeecomputersociety.org/10.1109/INFVIS.2003.1249012
1033_14,InfoVis,Mapping nominal values to numbers for effective visualization,semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2003.1249016
1033_16,InfoVis,Mapping nominal values to numbers for effective visualization,semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2003.1249016
1037_3,InfoVis,Empirical comparison of dynamic query sliders and brushing histograms,semantic,color-discrete,connected,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2003.1249020
1037_4,InfoVis,Empirical comparison of dynamic query sliders and brushing histograms,non-semantic,color-continuous,continuous,as tick,none,http://dx.doi.org/10.1109/INFVIS.2004.41
1037_10,InfoVis,Empirical comparison of dynamic query sliders and brushing histograms,semantic,color-discrete,non-uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2003.1249020
1037_11,InfoVis,Empirical comparison of dynamic query sliders and brushing histograms,semantic,color-discrete,non-uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2003.1249020
1037_14,InfoVis,Empirical comparison of dynamic query sliders and brushing histograms,semantic,color-discrete,non-uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2003.1249020
1038_7,InfoVis,An experimental evaluation of continuous semantic zooming in program visualization,semantic,size,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2003.1249021
1038_8,InfoVis,An experimental evaluation of continuous semantic zooming in program visualization,non-semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2003.1249021
1038_10,InfoVis,An experimental evaluation of continuous semantic zooming in program visualization,semantic,shape,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2003.1249021
1039_12,InfoVis,Conveying shape with texture: an experimental investigation of the impact of texture type on shape categorization judgments,semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2003.1249022
1039_13,InfoVis,Conveying shape with texture: an experimental investigation of the impact of texture type on shape categorization judgments,semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2003.1249022
1039_14,InfoVis,Conveying shape with texture: an experimental investigation of the impact of texture type on shape categorization judgments,semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2003.1249022
1039_15,InfoVis,Conveying shape with texture: an experimental investigation of the impact of texture type on shape categorization judgments,semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2003.1249022
1039_16,InfoVis,Conveying shape with texture: an experimental investigation of the impact of texture type on shape categorization judgments,semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2003.1249022
1039_17,InfoVis,Conveying shape with texture: an experimental investigation of the impact of texture type on shape categorization judgments,semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2003.1249022
1040_4,InfoVis,Coordinated graph and scatter-plot views for the visual exploration of microarray time-series data,non-semantic,color-ordinal,continuous,as tick,none,http://dx.doi.org/10.1109/INFVIS.2003.1249023
1043_1,InfoVis,Visualization of large-scale customer satisfaction surveys using a parallel coordinate tree,non-semantic,color-discrete,uniform,none,none,http://dx.doi.org/10.1109/INFVIS.2003.1249026
1045_14,InfoVis,Thread Arcs: an email thread visualization,non-semantic,color-ordinal,uniform,accompanying,flatten,http://dx.doi.org/10.1109/INFVIS.2003.1249028
1045_14,InfoVis,Thread Arcs: an email thread visualization,non-semantic,color-discrete,uniform,accompanying,flatten,http://dx.doi.org/10.1109/INFVIS.2003.1249028
1048_7,InfoVis,Between aesthetics and utility: designing ambient information visualizations,semantic,size,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2003.1249031
1049_5,InfoVis,Developing architectural lighting representations,semantic,color-discrete,connected,as tick,none,http://doi.ieeecomputersociety.org/10.1109/INFVIS.2003.1249032
1049_7,InfoVis,Developing architectural lighting representations,semantic,shape,uniform,accompanying,none,http://doi.ieeecomputersociety.org/10.1109/INFVIS.2003.1249032
1134_11,InfoVis,Building Highly-Coordinated Visualizations in Improvise,non-semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2004.12
1140_7,InfoVis,Dynamic Drawing of Clustered Graphs,semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2004.18
1145_0,InfoVis,Exploring and Visualizing the History of InfoVis,semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2004.22
1145_1,InfoVis,Exploring and Visualizing the History of InfoVis,semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2004.22
1145_2,InfoVis,Exploring and Visualizing the History of InfoVis,semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2004.22
1148_2,InfoVis,faMailiar & Intimacy-Based Email Visualization,semantic,shape,uniform,accompanying,matrix,http://dx.doi.org/10.1109/INFVIS.2004.26
1148_2,InfoVis,faMailiar & Intimacy-Based Email Visualization,semantic,color-discrete,uniform,accompanying,matrix,http://dx.doi.org/10.1109/INFVIS.2004.26
1152_0,InfoVis,A Rank-by-Feature Framework for Unsupervised Multidimensional Data Exploration Using Low Dimensional Projections,non-semantic,color-ordinal,continuous,as tick,none,http://dx.doi.org/10.1109/INFVIS.2004.3
1152_1,InfoVis,A Rank-by-Feature Framework for Unsupervised Multidimensional Data Exploration Using Low Dimensional Projections,non-semantic,color-ordinal,continuous,as tick,none,http://dx.doi.org/10.1109/INFVIS.2004.3
1152_2,InfoVis,A Rank-by-Feature Framework for Unsupervised Multidimensional Data Exploration Using Low Dimensional Projections,non-semantic,color-ordinal,continuous,as tick,none,http://dx.doi.org/10.1109/INFVIS.2004.3
1152_5,InfoVis,A Rank-by-Feature Framework for Unsupervised Multidimensional Data Exploration Using Low Dimensional Projections,non-semantic,color-continuous,continuous,as tick,none,http://dx.doi.org/10.1109/INFVIS.2004.41
1154_1,InfoVis,Information Visualization Research: Citation and Co-Citation Highlights,non-semantic,color-discrete,connected,none,none,http://dx.doi.org/10.1109/INFVIS.2004.38
1155_0,InfoVis,InfoVisExplorer,non-semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2004.39
1155_1,InfoVis,InfoVisExplorer,non-semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2004.39
1155_2,InfoVis,InfoVisExplorer,non-semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2004.39
1158_1,InfoVis,Interactive Poster: Visual Mining of Business Process Data,non-semantic,color-continuous,continuous,as tick,none,http://dx.doi.org/10.1109/INFVIS.2004.5
1158_2,InfoVis,Interactive Poster: Visual Mining of Business Process Data,non-semantic,color-continuous,continuous,as tick,none,http://dx.doi.org/10.1109/INFVIS.2004.5
1158_3,InfoVis,Interactive Poster: Visual Mining of Business Process Data,semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2004.41
1162_0,InfoVis,"Major Information Visualization Authors, Papers and Topics in the ACM Library",non-semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2004.45
1162_1,InfoVis,"Major Information Visualization Authors, Papers and Topics in the ACM Library",semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2004.45
1162_2,InfoVis,"Major Information Visualization Authors, Papers and Topics in the ACM Library",non-semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2004.45
1163_2,InfoVis,Matrix Zoom: A Visual Interface to Semi-External Graphs,non-semantic,color-discrete,uniform,none,none,http://dx.doi.org/10.1109/INFVIS.2004.46
1167_3,InfoVis,An Evaluation of Microarray Visualization Tools for Biological Insight,non-semantic,color-continuous,continuous,as tick,none,http://dx.doi.org/10.1109/INFVIS.2004.57
1167_6,InfoVis,An Evaluation of Microarray Visualization Tools for Biological Insight,non-semantic,color-continuous,continuous,as tick,none,http://dx.doi.org/10.1109/INFVIS.2005.1532144
1167_11,InfoVis,An Evaluation of Microarray Visualization Tools for Biological Insight,semantic,color-discrete,non-uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2004.5
1168_0,InfoVis,One-For-All: Visualization of the Information Visualization Symposia,semantic,shape,non-uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2004.50
1169_4,InfoVis,Paint Inspired Color Mixing and Compositing for Visualization,non-semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2004.52
1172_6,InfoVis,RecMap: Rectangular Map Approximations,semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2004.57
1172_7,InfoVis,RecMap: Rectangular Map Approximations,non-semantic,color-continuous,continuous,none,none,http://dx.doi.org/10.1109/INFVIS.2005.1532144
1176_2,InfoVis,"Steerable, Progressive Multidimensional Scaling",semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2004.60
1176_3,InfoVis,"Steerable, Progressive Multidimensional Scaling",semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2004.60
1178_0,InfoVis,The InfoVis Toolkit,semantic,color-ordinal,connected,embedded,none,http://dx.doi.org/10.1109/INFVIS.2004.64
1179_1,InfoVis,Time-Varying Data Visualization Using Information Flocking Boids,non-semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2004.65
1179_2,InfoVis,Time-Varying Data Visualization Using Information Flocking Boids,non-semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2004.65
1179_4,InfoVis,Time-Varying Data Visualization Using Information Flocking Boids,non-semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2004.65
1179_5,InfoVis,Time-Varying Data Visualization Using Information Flocking Boids,non-semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2004.65
1179_6,InfoVis,Time-Varying Data Visualization Using Information Flocking Boids,non-semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2004.65
1185_6,InfoVis,User Experiments with Tree Visualization Systems,non-semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2004.70
1185_8,InfoVis,User Experiments with Tree Visualization Systems,non-semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2004.70
1185_9,InfoVis,User Experiments with Tree Visualization Systems,non-semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2004.70
1305_0,InfoVis,"Baby names, visualization, and social data analysis",non-semantic,color-ordinal,uniform,accompanying,matrix,http://dx.doi.org/10.1109/INFVIS.2005.1532122
1305_0,InfoVis,"Baby names, visualization, and social data analysis",non-semantic,color-discrete,uniform,accompanying,matrix,http://dx.doi.org/10.1109/INFVIS.2005.1532122
1305_1,InfoVis,"Baby names, visualization, and social data analysis",non-semantic,color-ordinal,uniform,accompanying,matrix,http://dx.doi.org/10.1109/INFVIS.2005.1532122
1305_1,InfoVis,"Baby names, visualization, and social data analysis",non-semantic,color-discrete,uniform,accompanying,matrix,http://dx.doi.org/10.1109/INFVIS.2005.1532122
1305_2,InfoVis,"Baby names, visualization, and social data analysis",non-semantic,color-ordinal,uniform,accompanying,matrix,http://dx.doi.org/10.1109/INFVIS.2005.1532122
1305_2,InfoVis,"Baby names, visualization, and social data analysis",non-semantic,color-discrete,uniform,accompanying,matrix,http://dx.doi.org/10.1109/INFVIS.2005.1532122
1309_6,InfoVis,Vizster: visualizing online social networks,non-semantic,color-discrete,connected,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2005.1532126
1309_7,InfoVis,Vizster: visualizing online social networks,non-semantic,color-discrete,connected,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2005.1532126
1309_8,InfoVis,Vizster: visualizing online social networks,non-semantic,color-discrete,connected,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2005.1532126
1310_8,InfoVis,PRISAD: a partitioned rendering infrastructure for scalable accordion drawing,semantic,shape,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2005.1532127
1310_9,InfoVis,PRISAD: a partitioned rendering infrastructure for scalable accordion drawing,semantic,shape,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2005.1532127
1313_12,InfoVis,Dig-CoLa: directed graph layout through constrained energy minimization,non-semantic,color-ordinal,connected,embedded,none,http://dx.doi.org/10.1109/INFVIS.2005.1532130
1314_9,InfoVis,Dynamic visualization of graphs with extended labels,semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2005.1532131
1316_7,InfoVis,Turning the bucket of text into a pipe,semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.2005.1532133
1322_0,InfoVis,Parallel sets: visual analysis of categorical data,non-semantic,color-discrete,non-uniform,embedded,none,http://dx.doi.org/10.1109/INFVIS.2005.1532139
